                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.5551,                 2.6894,                 1.5361,                0.17481,                0.15294,                0.07039,                0.04446,                 1.4764,                 2.7195,                 1.5348,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.5515,                 2.6465,                 1.5383,                0.18268,                0.15157,                0.07245,                0.04476,                 1.4965,                 2.6823,                  1.539,              0.0095644,              0.0095644,              0.0095644
                     47,                 1.5554,                 2.6595,                 1.5289,                0.16951,                 0.1514,                0.07359,                0.04558,                 1.4877,                 2.6824,                 1.5162,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.5479,                 2.6743,                 1.5298,                0.22482,                0.15103,                0.07298,                0.04612,                 1.4821,                 2.6668,                 1.5219,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.5442,                 2.6313,                 1.5264,                0.16461,                0.16463,                0.07477,                0.04743,                 1.4959,                 2.6779,                 1.5122,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.5491,                 2.6301,                 1.5233,                0.17048,                 0.1595,                0.07682,                0.04756,                  1.478,                 2.6626,                 1.5165,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.5421,                 2.6423,                 1.5175,                 0.2012,                0.16856,                0.07835,                0.04849,                 1.4927,                 2.6564,                 1.5308,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.5305,                 2.6164,                 1.5237,                0.16335,                0.15463,                  0.071,                0.04564,                 1.4911,                  2.667,                 1.5302,               0.009505,               0.009505,               0.009505
                     53,                 1.5299,                 2.6205,                 1.5213,                0.18953,                0.16324,                0.07423,                0.04668,                 1.4749,                 2.6623,                  1.515,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.5378,                 2.6236,                 1.5285,                 0.1821,                0.17782,                0.07282,                0.04656,                 1.4633,                 2.6186,                 1.5115,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.5365,                 2.5979,                 1.5214,                 0.2542,                 0.1677,                0.07503,                0.04734,                 1.4758,                 2.6454,                 1.5153,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.5159,                 2.5735,                 1.5073,                0.18322,                0.16862,                0.07991,                 0.0501,                 1.4698,                 2.6394,                  1.498,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.5331,                 2.5855,                 1.5169,                0.17978,                0.17028,                0.07882,                 0.0502,                 1.4558,                 2.5971,                  1.503,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.5154,                 2.5696,                  1.499,                0.17304,                0.15554,                0.08265,                0.05306,                 1.4631,                 2.6318,                 1.5013,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.5195,                 2.5816,                 1.5085,                0.18343,                 0.1544,                 0.0835,                0.05233,                 1.4455,                 2.6294,                 1.4922,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.5141,                 2.5645,                 1.4961,                0.19184,                0.17611,                0.08541,                0.05334,                 1.4671,                 2.6102,                 1.4923,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.5128,                 2.5495,                 1.4961,                0.17639,                0.16966,                0.08741,                 0.0558,                 1.4547,                 2.5853,                 1.4911,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.5122,                 2.5672,                 1.4981,                0.20313,                0.16983,                0.08879,                0.05618,                 1.4522,                 2.5878,                 1.4838,               0.009406,               0.009406,               0.009406
                     63,                 1.4963,                 2.5193,                 1.4809,                0.19723,                0.18158,                0.08793,                0.05468,                 1.4587,                 2.5973,                 1.4876,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.5041,                 2.5248,                  1.484,                0.18726,                0.17807,                0.09019,                0.05687,                 1.4659,                 2.5833,                 1.4933,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.4909,                 2.5214,                  1.475,                 0.2004,                0.16101,                 0.0877,                  0.055,                 1.4541,                 2.5949,                 1.4878,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.5015,                 2.5282,                 1.4864,                0.16751,                  0.178,                 0.0961,                0.06019,                 1.4629,                 2.5858,                  1.493,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.4974,                 2.5228,                 1.4765,                0.20236,                0.17639,                0.09137,                0.05739,                 1.4371,                 2.5778,                 1.4741,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.5032,                 2.5154,                 1.4884,                0.23199,                0.14983,                0.09501,                0.06091,                 1.4398,                 2.5659,                 1.4876,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.4861,                 2.4889,                 1.4789,                0.20086,                0.17668,                0.09216,                0.06003,                 1.4389,                 2.5686,                 1.4771,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.5106,                 2.5049,                 1.4873,                0.14045,                 0.1804,                0.09373,                0.05987,                 1.4409,                 2.5463,                 1.4701,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.4973,                 2.4894,                 1.4801,                0.20189,                0.18171,                0.09562,                0.06098,                 1.4476,                 2.5601,                 1.4762,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.4829,                 2.4678,                 1.4681,                0.20191,                0.17564,                0.09526,                0.06038,                 1.4405,                 2.5589,                 1.4797,               0.009307,               0.009307,               0.009307
                     73,                 1.4859,                 2.4966,                 1.4719,                0.14027,                0.18085,                0.09177,                0.05949,                 1.4349,                 2.5486,                 1.4644,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.4761,                 2.4663,                 1.4756,                0.20441,                0.17236,                0.09775,                0.06133,                 1.4277,                  2.541,                 1.4757,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.4659,                 2.4763,                 1.4701,                0.20431,                 0.1751,                0.09454,                0.06103,                 1.4213,                 2.5342,                 1.4673,              0.0092773,              0.0092773,              0.0092773
                     76,                  1.479,                 2.4559,                 1.4691,                0.13597,                0.18859,                0.09553,                0.06088,                 1.4211,                 2.5335,                 1.4633,              0.0092674,              0.0092674,              0.0092674
