                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                  1.443,                 2.5566,                 1.5044,                 0.1596,                0.19002,                 0.1077,                 0.0722,                 1.4278,                 2.7707,                 1.4931,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.4336,                 2.5431,                 1.5039,                0.19815,                0.20449,                0.11159,                0.07496,                  1.432,                  2.752,                 1.5057,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.4293,                 2.5001,                  1.489,                0.15355,                0.21141,                0.11504,                0.07773,                 1.4325,                 2.7048,                  1.488,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.4178,                 2.4855,                 1.4806,                0.16635,                 0.1944,                 0.1165,                0.07786,                 1.4415,                 2.7219,                  1.494,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.4276,                 2.4829,                 1.4806,                 0.2438,                0.18403,                0.12135,                0.08103,                 1.4221,                 2.6992,                 1.4821,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.4082,                 2.4517,                  1.473,                0.17775,                 0.2163,                0.12036,                0.08154,                 1.4231,                 2.7026,                 1.4796,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.4111,                 2.4722,                 1.4809,                0.23232,                0.21571,                0.12442,                0.08337,                  1.418,                  2.677,                 1.4813,              0.0094357,              0.0094357,              0.0094357
                     60,                  1.409,                 2.4322,                  1.466,                0.17054,                0.22082,                0.13123,                0.08698,                 1.4313,                 2.6828,                 1.4862,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.3984,                 2.4041,                  1.456,                0.22486,                0.21009,                0.12959,                0.08679,                 1.4248,                 2.6755,                 1.4746,              0.0094159,              0.0094159,              0.0094159
                     62,                  1.395,                 2.4093,                 1.4614,                0.19245,                0.21913,                0.14019,                0.09532,                 1.4168,                 2.6622,                 1.4773,               0.009406,               0.009406,               0.009406
