                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.4259,                 2.5026,                 1.5023,                0.20022,                  0.203,                0.11093,                0.07316,                 1.4231,                 2.7261,                   1.51,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.4056,                 2.4787,                  1.491,                0.22455,                0.19366,                0.11748,                0.07791,                 1.4102,                 2.6872,                 1.4918,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.4088,                 2.4949,                 1.4931,                0.21981,                 0.2063,                0.11429,                0.07759,                 1.4214,                 2.6941,                  1.496,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.4094,                 2.4638,                 1.4855,                0.23672,                 0.2061,                0.11707,                0.08016,                 1.4224,                 2.7335,                 1.4913,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.3982,                 2.4386,                 1.4704,                0.25078,                0.20926,                0.12479,                0.08403,                  1.423,                 2.6948,                 1.4936,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.3987,                 2.4424,                 1.4818,                0.24928,                0.21603,                0.12939,                0.09034,                 1.4151,                 2.6915,                  1.494,               0.009406,               0.009406,               0.009406
                     63,                 1.3949,                 2.3957,                 1.4732,                 0.1948,                0.21746,                0.12893,                0.08734,                 1.4109,                 2.6538,                 1.4815,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.3907,                 2.3898,                 1.4706,                 0.2199,                0.21124,                0.13522,                 0.0916,                 1.4073,                 2.6236,                 1.4794,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.3839,                 2.3814,                 1.4569,                0.19784,                0.21678,                0.12584,                0.08577,                 1.4145,                 2.6818,                 1.4802,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.3923,                 2.3891,                 1.4627,                0.21104,                 0.2102,                0.13709,                0.09434,                 1.4089,                 2.6651,                 1.4778,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.3828,                 2.3679,                 1.4614,                0.19866,                0.21443,                0.14025,                0.09694,                 1.4109,                   2.64,                 1.4755,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.3805,                 2.3506,                 1.4592,                0.25689,                0.22464,                 0.1487,                0.10264,                 1.4008,                 2.6141,                 1.4792,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.3729,                 2.3366,                 1.4526,                0.19797,                0.21178,                0.14419,                0.10044,                 1.4202,                 2.6244,                 1.4846,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.3872,                 2.3157,                 1.4577,                0.20118,                 0.2127,                0.14604,                0.10117,                  1.403,                 2.6315,                 1.4739,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.3811,                 2.3066,                 1.4497,                 0.2178,                0.20017,                0.14195,                0.09746,                 1.4271,                 2.6434,                 1.4934,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.3699,                 2.2724,                 1.4376,                0.24434,                0.20914,                0.15593,                0.10981,                 1.3976,                 2.5868,                 1.4678,               0.009307,               0.009307,               0.009307
                     73,                 1.3822,                 2.2977,                 1.4378,                0.22726,                0.22216,                0.15065,                0.10297,                 1.3942,                 2.6142,                  1.458,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.3695,                 2.2547,                 1.4386,                 0.2463,                0.21807,                0.15624,                0.10985,                 1.3926,                 2.5692,                 1.4547,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.3531,                 2.2508,                 1.4343,                0.24829,                0.21486,                0.16235,                0.11175,                 1.4024,                 2.5864,                 1.4637,              0.0092773,              0.0092773,              0.0092773
                     76,                 1.3651,                 2.2447,                 1.4379,                0.24393,                0.22536,                 0.1563,                0.11001,                 1.3968,                 2.5929,                 1.4605,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.3586,                  2.226,                 1.4331,                0.26411,                0.20292,                0.16038,                 0.1092,                 1.4014,                 2.5942,                 1.4586,              0.0092575,              0.0092575,              0.0092575
                     78,                 1.3567,                 2.2174,                 1.4262,                0.31123,                0.21433,                  0.161,                0.11002,                 1.3979,                 2.5796,                 1.4634,              0.0092476,              0.0092476,              0.0092476
                     79,                 1.3644,                 2.1902,                 1.4218,                0.23649,                0.22027,                0.16099,                0.11118,                 1.3943,                 2.5947,                 1.4575,              0.0092377,              0.0092377,              0.0092377
                     80,                 1.3577,                 2.1965,                 1.4272,                0.23465,                0.22365,                0.16318,                0.11105,                 1.3896,                 2.5742,                 1.4554,              0.0092278,              0.0092278,              0.0092278
                     81,                 1.3659,                 2.1721,                 1.4246,                0.27967,                0.20445,                0.16474,                 0.1144,                  1.398,                 2.5822,                 1.4535,              0.0092179,              0.0092179,              0.0092179
                     82,                 1.3263,                 2.1246,                 1.4176,                0.27197,                0.20692,                0.17355,                0.12092,                 1.3866,                 2.5497,                  1.453,               0.009208,               0.009208,               0.009208
                     83,                 1.3584,                 2.1525,                 1.4199,                0.27215,                0.21987,                0.17264,                0.11968,                 1.3938,                 2.5358,                 1.4449,              0.0091981,              0.0091981,              0.0091981
                     84,                 1.3371,                  2.113,                 1.4139,                0.26442,                0.22462,                0.16795,                0.11617,                 1.3901,                 2.5417,                 1.4488,              0.0091882,              0.0091882,              0.0091882
                     85,                 1.3506,                 2.0984,                 1.4091,                0.24352,                0.22169,                 0.1717,                0.11915,                 1.3939,                 2.5766,                 1.4458,              0.0091783,              0.0091783,              0.0091783
                     86,                 1.3353,                 2.0952,                 1.4077,                  0.278,                0.22893,                0.17788,                0.12386,                 1.3941,                 2.5318,                 1.4498,              0.0091684,              0.0091684,              0.0091684
                     87,                 1.3453,                 2.1098,                 1.4124,                0.29068,                 0.2279,                0.18021,                0.12489,                 1.3742,                 2.5234,                  1.442,              0.0091585,              0.0091585,              0.0091585
                     88,                 1.3411,                 2.0503,                 1.4028,                0.29489,                0.21131,                0.18413,                0.12897,                 1.3767,                  2.533,                 1.4383,              0.0091486,              0.0091486,              0.0091486
                     89,                 1.3299,                 2.0575,                 1.3993,                0.28169,                0.22238,                0.18162,                 0.1263,                 1.3871,                 2.5273,                 1.4429,              0.0091387,              0.0091387,              0.0091387
                     90,                 1.3361,                 2.0267,                 1.4031,                0.27089,                0.22819,                0.18187,                0.12535,                 1.3913,                 2.5238,                 1.4377,              0.0091288,              0.0091288,              0.0091288
                     91,                 1.3215,                 2.0349,                 1.3997,                 0.2862,                0.23152,                0.18557,                0.12956,                 1.3796,                 2.5241,                 1.4362,              0.0091189,              0.0091189,              0.0091189
                     92,                 1.3204,                 2.0143,                 1.3874,                0.27376,                0.23684,                0.18587,                 0.1297,                 1.3874,                 2.5342,                 1.4392,               0.009109,               0.009109,               0.009109
                     93,                 1.3275,                 1.9998,                 1.3877,                0.28051,                0.24855,                0.19764,                0.13925,                 1.3837,                 2.5115,                 1.4361,              0.0090991,              0.0090991,              0.0090991
                     94,                 1.3152,                 2.0099,                 1.3956,                0.30332,                0.23166,                0.18886,                0.13285,                 1.3874,                 2.5097,                 1.4358,              0.0090892,              0.0090892,              0.0090892
                     95,                 1.3109,                 1.9713,                 1.3839,                0.29069,                0.24076,                0.19547,                0.13839,                 1.3747,                  2.487,                 1.4374,              0.0090793,              0.0090793,              0.0090793
                     96,                 1.3138,                 1.9598,                   1.38,                0.30744,                0.23822,                0.19839,                0.13901,                 1.3762,                  2.502,                 1.4305,              0.0090694,              0.0090694,              0.0090694
                     97,                 1.3181,                 1.9566,                 1.3795,                 0.3392,                0.22259,                 0.1981,                0.13922,                  1.373,                 2.5075,                 1.4224,              0.0090595,              0.0090595,              0.0090595
