                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2624,                 1.9481,                 1.2663,                 0.2205,                0.19354,                0.13747,                0.09253,                 1.3967,                 2.4648,                 1.3844,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.2678,                 1.9458,                 1.2645,                0.23265,                0.20145,                0.13707,                0.09334,                 1.3641,                 2.4545,                 1.3759,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.2664,                  1.913,                 1.2695,                0.21694,                 0.2023,                0.14469,                0.09902,                 1.3828,                 2.4466,                 1.3752,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.2491,                  1.878,                 1.2573,                0.20263,                0.20132,                0.13729,                0.09315,                 1.3688,                 2.4495,                 1.3665,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.2542,                 1.8728,                  1.262,                0.25613,                0.19866,                 0.1438,                0.09814,                 1.3855,                  2.467,                 1.3791,               0.009406,               0.009406,               0.009406
                     63,                 1.2515,                 1.8481,                 1.2568,                0.28241,                0.19775,                0.14895,                0.10306,                  1.356,                 2.4363,                 1.3641,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.2345,                  1.831,                 1.2452,                0.25456,                0.19578,                0.15163,                 0.1039,                 1.3727,                  2.443,                 1.3661,              0.0093862,              0.0093862,              0.0093862
                     65,                  1.234,                 1.8156,                 1.2474,                0.27122,                0.19611,                0.15436,                0.10486,                 1.3739,                 2.4065,                 1.3659,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.2419,                 1.8022,                 1.2422,                 0.2358,                0.20291,                0.14771,                0.10177,                 1.3733,                 2.4495,                 1.3708,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.2276,                 1.7678,                 1.2423,                0.24015,                 0.2091,                0.15658,                0.10884,                 1.3595,                 2.4113,                 1.3485,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.2261,                  1.762,                 1.2335,                0.29016,                0.20659,                0.15897,                0.11003,                 1.3502,                 2.4088,                 1.3512,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.2285,                 1.7684,                 1.2375,                0.25731,                0.21019,                0.16617,                0.11433,                 1.3553,                 2.4045,                 1.3506,              0.0093367,              0.0093367,              0.0093367
                     70,                 1.2152,                  1.739,                 1.2312,                 0.2866,                0.20621,                0.16867,                0.11746,                 1.3483,                 2.4035,                 1.3519,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.2179,                 1.7198,                 1.2328,                0.28139,                0.19217,                0.16628,                 0.1162,                 1.3473,                 2.4214,                 1.3486,              0.0093169,              0.0093169,              0.0093169
                     72,                 1.2023,                 1.6868,                  1.219,                0.30411,                 0.2094,                0.17073,                 0.1202,                 1.3642,                 2.3797,                  1.356,               0.009307,               0.009307,               0.009307
                     73,                 1.1996,                 1.6699,                 1.2308,                0.33369,                0.20998,                0.17531,                0.12242,                 1.3431,                 2.3752,                 1.3472,              0.0092971,              0.0092971,              0.0092971
