                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.4987,                 2.5594,                 1.4768,                0.23872,                0.15994,                0.08198,                0.05225,                  1.454,                 2.6193,                 1.4727,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.5141,                 2.5674,                 1.4962,                0.25898,                 0.1569,                0.08356,                0.05319,                 1.4454,                 2.6056,                 1.4647,              0.0094357,              0.0094357,              0.0094357
                     60,                  1.497,                  2.539,                 1.4765,                0.24153,                0.16263,                0.08042,                0.05095,                 1.4518,                  2.632,                 1.4655,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.4998,                 2.5438,                 1.4768,                0.17417,                0.17277,                0.08043,                0.05094,                  1.431,                 2.5795,                 1.4595,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.5084,                 2.5473,                 1.4796,                 0.1454,                0.16968,                0.08759,                0.05572,                  1.446,                 2.6007,                 1.4576,               0.009406,               0.009406,               0.009406
                     63,                 1.4896,                 2.5083,                 1.4676,                 0.2608,                0.16796,                   0.09,                 0.0576,                 1.4244,                  2.567,                 1.4427,              0.0093961,              0.0093961,              0.0093961
                     64,                 1.4917,                 2.5266,                 1.4681,                0.19362,                0.16859,                0.08793,                 0.0564,                 1.4404,                 2.5901,                 1.4515,              0.0093862,              0.0093862,              0.0093862
                     65,                 1.4824,                 2.5053,                   1.46,                0.18872,                0.16538,                 0.0878,                0.05543,                 1.4356,                 2.5967,                 1.4533,              0.0093763,              0.0093763,              0.0093763
                     66,                 1.4842,                 2.5226,                 1.4673,                0.13902,                0.15944,                0.08921,                0.05884,                  1.429,                 2.5849,                 1.4508,              0.0093664,              0.0093664,              0.0093664
                     67,                 1.4833,                 2.4961,                 1.4581,                0.18754,                0.18206,                0.08645,                0.05507,                 1.4244,                 2.5862,                 1.4348,              0.0093565,              0.0093565,              0.0093565
                     68,                 1.4962,                 2.4939,                 1.4688,                0.19461,                0.17464,                0.09463,                0.06091,                 1.4323,                 2.5348,                 1.4403,              0.0093466,              0.0093466,              0.0093466
                     69,                 1.4748,                 2.4815,                 1.4632,                0.18887,                0.17324,                0.09132,                0.05837,                 1.4295,                 2.5501,                 1.4368,              0.0093367,              0.0093367,              0.0093367
                     70,                  1.494,                 2.4888,                  1.464,                0.19174,                0.18936,                0.09262,                0.05954,                 1.4283,                 2.5694,                 1.4378,              0.0093268,              0.0093268,              0.0093268
                     71,                 1.4831,                 2.4729,                 1.4561,                0.21261,                0.17561,                0.09521,                0.06089,                  1.434,                 2.5426,                 1.4492,              0.0093169,              0.0093169,              0.0093169
                     72,                  1.477,                 2.4533,                 1.4532,                0.21269,                0.16726,                0.09322,                0.06002,                 1.4394,                 2.5566,                  1.452,               0.009307,               0.009307,               0.009307
                     73,                 1.4771,                 2.4838,                 1.4529,                0.15864,                0.17389,                0.09222,                0.05879,                 1.4188,                 2.5416,                 1.4336,              0.0092971,              0.0092971,              0.0092971
                     74,                 1.4695,                 2.4468,                  1.456,                0.20028,                0.17402,                 0.0951,                0.06116,                 1.4204,                 2.5287,                 1.4394,              0.0092872,              0.0092872,              0.0092872
                     75,                 1.4522,                 2.4587,                 1.4526,                0.15169,                0.18024,                0.09876,                0.06426,                 1.4032,                 2.5203,                 1.4334,              0.0092773,              0.0092773,              0.0092773
                     76,                  1.464,                 2.4415,                 1.4485,                0.20133,                0.18491,                0.09457,                0.06142,                  1.412,                  2.528,                 1.4344,              0.0092674,              0.0092674,              0.0092674
                     77,                 1.4622,                 2.4321,                 1.4433,                0.21251,                0.16732,                0.10103,                0.06552,                 1.4144,                 2.5288,                 1.4314,              0.0092575,              0.0092575,              0.0092575
